,country,date,num_sites,cumulative_count,count,date_str,N0,n1,n2,percent_increase,R,C,standard_error,95_CI_below,95_CI_above,category,jhu_past_100
641,France,2020-05-15,2.0,6026.0,5.0,2020-05-15,6021.0,5.0,6.0,0.08304268393954493,0.08304268393954493,-0.916957316060455,0.014989795215904681,-1.1569256416816074,-0.6769889904393027,Severe,False
642,France,2020-05-16,2.0,6030.0,4.0,2020-05-16,6026.0,4.0,5.0,0.06637902422834385,0.06637902422834385,-0.9336209757716561,0.014157039817170184,-1.1668283602208647,-0.7004135913224475,Severe,False
643,France,2020-05-17,2.0,6033.0,3.0,2020-05-17,6030.0,3.0,4.0,0.04975124378109452,0.04975124378109452,-0.9502487562189055,0.013056607509715105,-1.1742091621153976,-0.7262883503224132,Severe,False
644,France,2020-05-18,2.0,6039.0,6.0,2020-05-18,6033.0,6.0,3.0,0.09945300845350571,0.09945300845350571,-0.9005469915464943,0.036447969781319596,-1.2747374787477557,-0.526356504345233,Severe,True
645,France,2020-05-19,2.0,6046.0,7.0,2020-05-19,6039.0,7.0,6.0,0.11591323066732903,0.11591323066732903,-0.8840867693326709,0.021558184618511073,-1.1718678007271535,-0.5963057379381884,Severe,False
646,France,2020-05-20,2.0,6052.0,6.0,2020-05-20,6046.0,6.0,7.0,0.09923916639100232,0.09923916639100232,-0.9007608336089977,0.015583939790997623,-1.1454387098076775,-0.656082957410318,Severe,False
647,France,2020-05-21,2.0,6056.0,4.0,2020-05-21,6052.0,4.0,6.0,0.06609385327164573,0.06609385327164573,-0.9339061467283543,0.011743708451989928,-1.1463081956571828,-0.7215040977995256,Severe,False
648,France,2020-05-22,2.0,6060.0,4.0,2020-05-22,6056.0,4.0,4.0,0.06605019815059446,0.06605019815059446,-0.9339498018494056,0.017603206706581814,-1.1939968723655041,-0.673902731333307,Severe,False
649,France,2020-05-23,2.0,6064.0,4.0,2020-05-23,6060.0,4.0,4.0,0.066006600660066,0.066006600660066,-0.933993399339934,0.017590867997690857,-1.1939493157948768,-0.6740374828849912,Severe,False
650,France,2020-05-24,2.0,6066.0,2.0,2020-05-24,6064.0,2.0,4.0,0.032981530343007916,0.032981530343007916,-0.9670184696569921,0.008517327921693667,-1.147905635989981,-0.7861313033240032,Severe,False
651,France,2020-05-25,2.0,6071.0,5.0,2020-05-25,6066.0,5.0,2.0,0.08242664029014178,0.08242664029014178,-0.9175733597098582,0.044610395659831104,-1.3315483540836817,-0.5035983653360347,Severe,True
652,France,2020-05-26,2.0,6075.0,4.0,2020-05-26,6071.0,4.0,5.0,0.06588700378850271,0.06588700378850271,-0.9341129962114973,0.014045620211345774,-1.1664008663293877,-0.7018251260936069,Severe,False
653,France,2020-05-27,2.0,6078.0,3.0,2020-05-27,6075.0,3.0,4.0,0.04938271604938272,0.04938271604938272,-0.9506172839506173,0.01295534217344917,-1.1737074955098032,-0.7275270723914313,Severe,False
654,France,2020-05-28,2.0,6086.0,8.0,2020-05-28,6078.0,8.0,3.0,0.1316222441592629,0.1316222441592629,-0.8683777558407371,0.04964888643892784,-1.3051055453661864,-0.43164996631528774,Severe,False
655,France,2020-05-29,2.0,6092.0,6.0,2020-05-29,6086.0,6.0,8.0,0.0985869208018403,0.0985869208018403,-0.9014130791981597,0.013538287719378579,-1.1294672089629259,-0.6733589494333937,Severe,False
656,France,2020-05-30,2.0,6095.0,3.0,2020-05-30,6092.0,3.0,6.0,0.04924491135915955,0.04924491135915955,-0.9507550886408405,0.008611662108988507,-1.132641210040716,-0.768868967240965,Severe,False
657,France,2020-05-31,2.0,6098.0,3.0,2020-05-31,6095.0,3.0,3.0,0.04922067268252667,0.04922067268252667,-0.9507793273174734,0.0172144491006157,-1.2079388646963645,-0.6936197899385823,Severe,False
658,France,2020-06-01,2.0,6105.0,7.0,2020-06-01,6098.0,7.0,3.0,0.11479173499508036,0.11479173499508036,-0.8852082650049197,0.04265629247275371,-1.2900149017629285,-0.4804016282469107,Severe,True
659,France,2020-06-02,2.0,6113.0,8.0,2020-06-02,6105.0,8.0,7.0,0.13104013104013104,0.13104013104013104,-0.868959868959869,0.02117309242616368,-1.1541590131807982,-0.5837607247389398,Severe,False
660,France,2020-06-03,2.0,6118.0,5.0,2020-06-03,6113.0,5.0,8.0,0.08179290037624734,0.08179290037624734,-0.9182070996237527,0.011060372366025757,-1.124336977325469,-0.7120772219220364,Severe,False
